 episode               m      robot_x      robot_y      goal_x       goal_y      g      f    t_h    t_m    t_s     ep
      48      26547   -5.886e-01    2.654e-01   -5.000e-01    5.000e-01   1   0          0   41   49    2.015e-01
      49      26745    1.748e+00    1.378e+00    2.000e+00    1.500e+00   1   0          0   42   56    2.026e-01
      49      26953    5.074e-01   -2.648e-01    6.000e-01    0.000e+00   1   0          0   43   13    2.026e-01
      49      26993   -1.046e+00   -8.430e-01   -1.300e+00   -9.000e-01   1   0          0   43   17    2.026e-01
      49      27305    1.503e+00   -1.805e+00    1.800e+00   -1.800e+00   1   0          0   43   42    2.026e-01
      49      27501    5.328e-01   -2.852e-01    6.000e-01    0.000e+00   1   0          0   44   00    2.026e-01
      49      27825    1.656e+00   -4.155e-01    1.900e+00   -5.000e-01   1   0          0   44   26    2.026e-01
      49      28033   -1.671e+00    9.791e-01   -1.900e+00    1.100e+00   1   0          0   44   44    2.026e-01
      49      28281    8.805e-02    1.234e+00    2.000e-01    1.500e+00   1   0          0   45   05    2.026e-01
      50      28380    1.520e+00   -1.775e+00    1.800e+00   -1.800e+00   1   0          0   45   38    2.037e-01
      50      28484   -1.041e+00   -1.708e+00   -1.000e+00   -2.000e+00   1   0          0   45   47    2.037e-01
      50      28592   -6.100e-01    2.310e-01   -5.000e-01    5.000e-01   1   0          0   45   57    2.037e-01
      50      28700   -2.570e-01   -1.005e+00    0.000e+00   -1.000e+00   1   0          0   46   08    2.037e-01
      50      29028    1.645e+00   -3.958e-01    1.900e+00   -5.000e-01   1   0          0   46   34    2.037e-01
      50      29372    1.522e+00   -1.777e+00    1.800e+00   -1.800e+00   1   0          0   47   01    2.037e-01
      50      29584    4.977e-01   -2.601e-01    6.000e-01    0.000e+00   1   0          0   47   20    2.037e-01
      50      29776   -1.638e+00    9.606e-01   -1.900e+00    1.100e+00   1   0          0   47   37    2.037e-01
      50      29872   -1.015e+00   -1.726e+00   -1.000e+00   -2.000e+00   1   0          0   47   46    2.037e-01
      50      29988   -5.939e-01    2.220e-01   -5.000e-01    5.000e-01   1   0          0   47   57    2.037e-01
      51      30069    3.669e-01    1.540e+00    5.000e-01    1.800e+00   1   0          0   48   25    2.049e-01
      51      30109    4.456e-02   -1.279e+00    7.000e-01   -1.900e+00   0   1          0   48   38    2.049e-01
      53      30146   -1.040e+00    7.470e-01   -1.000e+00    1.000e+00   1   0          0   48   53    2.073e-01
      53      30254   -2.470e-01   -9.995e-01    0.000e+00   -1.000e+00   1   0          0   49   03    2.073e-01
      53      30590    1.510e+00   -1.763e+00    1.800e+00   -1.800e+00   1   0          0   49   29    2.073e-01
      53      30870    3.700e-01    1.557e+00    5.000e-01    1.800e+00   1   0          0   49   51    2.073e-01
      53      30946   -1.706e+00   -7.721e-01   -2.000e+00   -8.000e-01   1   0          0   49   58    2.073e-01
      53      31017    1.236e+00    4.443e-01    2.000e+00    1.500e+00   0   1          0   50   24    2.073e-01
      55      31077    3.954e-01    1.540e+00    5.000e-01    1.800e+00   1   0          0   50   48    2.098e-01
      55      31261    5.075e-01   -1.674e+00    7.000e-01   -1.900e+00   1   0          0   51   05    2.098e-01
      55      31509   -1.641e+00    9.721e-01   -1.900e+00    1.100e+00   1   0          0   51   23    2.098e-01
      55      31801    1.511e+00   -1.793e+00    1.800e+00   -1.800e+00   1   0          0   51   49    2.098e-01
      55      32005   -2.237e-01    1.352e+00   -1.000e-01    1.600e+00   1   0          0   52   08    2.098e-01
      55      32177   -9.830e-01    7.200e-01   -1.000e+00    1.000e+00   1   0          0   52   22    2.098e-01
      55      32301   -6.109e-01    2.788e-01   -5.000e-01    5.000e-01   1   0          0   52   33    2.098e-01
      55      32425   -2.627e-01   -1.058e+00    0.000e+00   -1.000e+00   1   0          0   52   43    2.098e-01
      55      32585    2.882e-01   -1.368e+00    5.000e-01   -1.500e+00   1   0          0   52   58    2.098e-01
      55      32634   -1.298e+00    6.908e-01   -1.900e+00    1.100e+00   0   1          0   53   13    2.098e-01
      57      32758    1.519e+00   -1.780e+00    1.800e+00   -1.800e+00   1   0          0   53   40    2.125e-01
      57      32886   -1.704e+00   -7.839e-01   -2.000e+00   -8.000e-01   1   0          0   53   47    2.125e-01
      57      33042   -9.741e-01   -1.703e+00   -1.000e+00   -2.000e+00   1   0          0   53   55    2.125e-01
      57      33310    5.171e-01   -1.733e+00    7.000e-01   -1.900e+00   1   0          0   54   13    2.125e-01
      57      33430   -6.027e-01    2.601e-01   -5.000e-01    5.000e-01   1   0          0   54   23    2.125e-01
      57      33546   -2.770e-01   -9.984e-01    0.000e+00   -1.000e+00   1   0          0   54   33    2.125e-01
      57      33630   -1.715e+00   -7.960e-01   -2.000e+00   -8.000e-01   1   0          0   54   41    2.125e-01
      57      33926    7.307e-02    1.238e+00    2.000e-01    1.500e+00   1   0          0   55   01    2.125e-01
      58      34123    1.626e+00   -4.250e-01    1.900e+00   -5.000e-01   1   0          0   55   46    2.140e-01
      58      34463   -1.675e+00    9.771e-01   -1.900e+00    1.100e+00   1   0          0   56   05    2.140e-01
      58      34623   -2.517e-01   -1.031e+00    0.000e+00   -1.000e+00   1   0          0   56   15    2.140e-01
      58      34723   -1.730e+00   -7.840e-01   -2.000e+00   -8.000e-01   1   0          0   56   22    2.140e-01
      58      34871   -9.790e-01   -1.706e+00   -1.000e+00   -2.000e+00   1   0          0   56   31    2.140e-01
      58      35191    4.995e-01   -2.809e-01    6.000e-01    0.000e+00   1   0          0   56   48    2.140e-01
      58      35231   -1.026e+00   -8.378e-01   -1.300e+00   -9.000e-01   1   0          0   56   51    2.140e-01
      59      35491    1.736e+00    1.398e+00    2.000e+00    1.500e+00   1   0          0   57   46    2.154e-01
      59      35995    1.632e+00   -4.058e-01    1.900e+00   -5.000e-01   1   0          0   58   13    2.154e-01
      59      36179   -6.096e-01    2.432e-01   -5.000e-01    5.000e-01   1   0          0   58   23    2.154e-01
      59      36256   -4.428e-02    7.470e-01    5.000e-01    1.800e+00   0   1          0   58   39    2.154e-01
      61      36342    4.272e-02    1.252e+00    2.000e-01    1.500e+00   1   0          0   58   58    2.185e-01
      61      36470   -1.710e+00   -7.978e-01   -2.000e+00   -8.000e-01   1   0          0   59   05    2.185e-01
      61      36786    4.937e-01   -2.661e-01    6.000e-01    0.000e+00   1   0          0   59   22    2.185e-01
      61      36859   -1.373e+00    7.653e-01   -1.900e+00    1.100e+00   0   1          0   59   38    2.185e-01
      63      36937    4.780e-01   -1.699e+00    7.000e-01   -1.900e+00   1   0          0   59   56    2.217e-01
      63      37261    5.106e-01   -2.630e-01    6.000e-01    0.000e+00   1   0          1   00   13    2.217e-01
      63      37601   -2.089e-01    1.347e+00   -1.000e-01    1.600e+00   1   0          1   00   32    2.217e-01
      63      37773   -6.259e-01    2.280e-01   -5.000e-01    5.000e-01   1   0          1   00   42    2.217e-01
      63      38341    1.746e+00    1.371e+00    2.000e+00    1.500e+00   1   0          1   01   14    2.217e-01
      64      38519    3.688e-01    1.553e+00    5.000e-01    1.800e+00   1   0          1   01   53    2.234e-01
      64      38647   -1.710e+00   -7.960e-01   -2.000e+00   -8.000e-01   1   0          1   02   00    2.234e-01
      64      38979   -1.648e+00    9.635e-01   -1.900e+00    1.100e+00   1   0          1   02   18    2.234e-01
      64      39295    5.016e-01   -1.690e+00    7.000e-01   -1.900e+00   1   0          1   02   35    2.234e-01
      64      39559   -9.844e-01    7.112e-01   -1.000e+00    1.000e+00   1   0          1   02   49    2.234e-01
      64      39827    2.511e-01   -1.375e+00    5.000e-01   -1.500e+00   1   0          1   03   03    2.234e-01
      65      40024    1.518e+00   -1.787e+00    1.800e+00   -1.800e+00   1   0          1   03   44    2.252e-01
      65      40372   -1.652e+00    9.674e-01   -1.900e+00    1.100e+00   1   0          1   04   03    2.252e-01
      65      40632   -1.016e+00    7.144e-01   -1.000e+00    1.000e+00   1   0          1   04   16    2.252e-01
      65      40685   -9.431e-02   -1.194e+00    5.000e-01   -1.500e+00   0   1          1   04   28    2.252e-01
      67      40831    1.760e+00    1.365e+00    2.000e+00    1.500e+00   1   0          1   05   00    2.289e-01
      67      41147    5.029e-01   -2.755e-01    6.000e-01    0.000e+00   1   0          1   05   16    2.289e-01
      67      41319   -2.859e-01   -1.048e+00    0.000e+00   -1.000e+00   1   0          1   05   26    2.289e-01
      67      41635    4.912e-01   -1.704e+00    7.000e-01   -1.900e+00   1   0          1   05   43    2.289e-01
      67      41899    2.662e-01   -1.359e+00    5.000e-01   -1.500e+00   1   0          1   05   57    2.289e-01
      67      41974    4.272e-01   -3.657e-01    6.000e-01    0.000e+00   0   1          1   06   13    2.289e-01
      69      42061   -2.257e-01    1.328e+00   -1.000e-01    1.600e+00   1   0          1   06   32    2.328e-01
      69      42681    1.749e+00    1.385e+00    2.000e+00    1.500e+00   1   0          1   07   04    2.328e-01
      69      43001    4.707e-01   -1.713e+00    7.000e-01   -1.900e+00   1   0          1   07   21    2.328e-01
      69      43189   -5.990e-01    2.370e-01   -5.000e-01    5.000e-01   1   0          1   07   32    2.328e-01
      69      43529    2.647e-02    1.259e+00    2.000e-01    1.500e+00   1   0          1   07   50    2.328e-01
      70      43677    3.431e-01    1.550e+00    5.000e-01    1.800e+00   1   0          1   08   21    2.348e-01
      70      43717   -1.009e+00   -8.390e-01   -1.300e+00   -9.000e-01   1   0          1   08   24    2.348e-01
      70      43839    1.626e+00   -4.159e-01    1.900e+00   -5.000e-01   1   0          1   08   51    2.348e-01
      70      43910    4.121e-01   -4.011e-01    6.000e-01    0.000e+00   0   1          1   09   07    2.348e-01
      72      43942   -1.710e+00   -7.979e-01   -2.000e+00   -8.000e-01   1   0          1   09   15    2.391e-01
      72      44262   -1.645e+00    9.545e-01   -1.900e+00    1.100e+00   1   0          1   09   33    2.391e-01
      72      44758    1.641e+00   -4.036e-01    1.900e+00   -5.000e-01   1   0          1   09   59    2.391e-01
      72      44942   -5.971e-01    2.400e-01   -5.000e-01    5.000e-01   1   0          1   10   09    2.391e-01
      72      45286   -2.167e-01    1.332e+00   -1.000e-01    1.600e+00   1   0          1   10   28    2.391e-01
      72      45618   -1.657e+00    9.492e-01   -1.900e+00    1.100e+00   1   0          1   10   46    2.391e-01
      73      45730   -1.821e-01    1.371e+00   -1.000e-01    1.600e+00   1   0          1   11   15    2.414e-01
      73      45770   -8.316e-02   -1.190e+00    5.000e-01   -1.500e+00   0   1          1   11   27    2.414e-01
      75      45835    3.461e-01    1.578e+00    5.000e-01    1.800e+00   1   0          1   11   49    2.460e-01
      75      45927   -1.712e+00   -8.142e-01   -2.000e+00   -8.000e-01   1   0          1   11   56    2.460e-01
      75      46111   -1.015e+00    7.226e-01   -1.000e+00    1.000e+00   1   0          1   12   11    2.460e-01
      75      46655    1.745e+00    1.358e+00    2.000e+00    1.500e+00   1   0          1   12   43    2.460e-01
      75      46907   -1.000e+00    7.021e-01   -1.000e+00    1.000e+00   1   0          1   12   57    2.460e-01
      75      47475    1.762e+00    1.356e+00    2.000e+00    1.500e+00   1   0          1   13   30    2.460e-01
      76      47589   -2.203e-01    1.329e+00   -1.000e-01    1.600e+00   1   0          1   13   57    2.485e-01
      76      47905    5.145e-01   -2.817e-01    6.000e-01    0.000e+00   1   0          1   14   14    2.485e-01
      76      48225    4.874e-01   -1.714e+00    7.000e-01   -1.900e+00   1   0          1   14   31    2.485e-01
      76      48481   -2.392e-01    1.357e+00   -1.000e-01    1.600e+00   1   0          1   14   50    2.485e-01
      76      48941    1.533e+00   -1.767e+00    1.800e+00   -1.800e+00   1   0          1   15   17    2.485e-01
      76      48981   -1.026e+00   -8.367e-01   -1.300e+00   -9.000e-01   1   0          1   15   20    2.485e-01
      76      49161   -6.272e-01    2.495e-01   -5.000e-01    5.000e-01   1   0          1   15   30    2.485e-01
      77      49265   -1.648e+00    9.378e-01   -1.900e+00    1.100e+00   1   0          1   15   54    2.510e-01
      77      49305   -1.040e+00   -7.799e-01   -1.300e+00   -9.000e-01   1   0          1   15   57    2.510e-01
      77      49445   -9.717e-01   -1.723e+00   -1.000e+00   -2.000e+00   1   0          1   16   07    2.510e-01
      77      49577   -1.725e+00   -8.016e-01   -2.000e+00   -8.000e-01   1   0          1   16   15    2.510e-01
      77      49909   -1.661e+00    9.856e-01   -1.900e+00    1.100e+00   1   0          1   16   34    2.510e-01
      77      49953   -1.073e+00   -8.575e-01   -1.300e+00   -9.000e-01   1   0          1   16   38    2.510e-01
      77      50059    1.647e+00   -3.617e-01    1.900e+00   -5.000e-01   1   0          1   17   05    2.510e-01
      77      50099   -3.720e-01   -1.224e+00    5.000e-01   -1.500e+00   0   1          1   17   15    2.510e-01
      79      50227    1.059e+00   -1.648e+00    1.800e+00   -1.800e+00   0   1          1   17   44    2.563e-01
      80      50318    7.494e-02    1.260e+00    2.000e-01    1.500e+00   1   0          1   18   04    2.591e-01
      80      50443    1.635e+00   -4.070e-01    1.900e+00   -5.000e-01   1   0          1   18   31    2.591e-01
      80      50631   -1.036e+00   -1.722e+00   -1.000e+00   -2.000e+00   1   0          1   18   42    2.591e-01
      80      51003   -2.247e-01    1.351e+00   -1.000e-01    1.600e+00   1   0          1   19   01    2.591e-01
      80      51137    1.521e+00   -1.796e+00    1.800e+00   -1.800e+00   1   0          1   19   30    2.591e-01
      81      51533    6.321e-02    1.285e+00    2.000e-01    1.500e+00   1   0          1   19   54    2.620e-01
